chrom	txStart	txEnd	strand	#name	name2	exonCount
chr1	3204562	3661579	-	NM_001011874	Xkr4	3
chr1	4280926	4399322	-	NM_001195662	Rp1	4
chr1	4481008	4486494	-	NM_011441	Sox17	5
chr1	4763278	4775807	-	NR_033530	Mrpl15	4
chr1	4797973	4836816	+	NM_008866	Lypla1	9
chr1	4847774	4887990	+	NM_001159750	Tcea1	10
chr1	4899656	5009507	-	NM_021374	Rgs20	5
chr1	5073253	5152630	+	NM_133826	Atp6v1h	14
chr1	5578573	5596214	+	NM_011011	Oprk1	4
chr1	5903787	5907479	-	NM_010342	Npbwr1	1
chr1	6204742	6266185	+	NM_009826	Rb1cc1	24
chr1	6349411	6384812	+	NM_001195732	Fam150a	5
chr1	6720131	6851021	+	NM_173868	St18	22
chr1	7079000	7163709	+	NM_183028	Pcmtd1	6
chr1	8352741	9289811	-	NM_027671	Sntg1	21
chr1	9535488	9537536	+	NM_021511	Rrs1	1
chr1	9538126	9568049	+	NM_175236	Adhfe1	14
chr1	9550913	9621173	-	NR_015470	2610203C22Rik	5
chr1	9591347	9617223	+	NM_178399	3110035E14Rik	6
chr1	9658915	9690290	-	NM_008651	Mybl1	16
chr1	9713277	9738463	-	NM_173443	Vcpip1	3
chr1	9737728	9761337	+	NR_040462	1700034P13Rik	4
chr1	9788210	9892649	+	NM_133220	Sgk3	18
chr1	9898718	9931035	+	NM_177722	6030422M02Rik	15
chr1	9932105	9934199	-	NR_024067	Snhg6	4
chr1	9932550	9932624	-	NR_004410	Snord87	1
chr1	9958706	9999201	-	NM_145692	Ppp1r42	9
chr1	10014911	10027979	-	NM_013715	Cops5	8
chr1	10028298	10126849	+	NM_026493	Cspp1	30
chr1	10127587	10222751	-	NM_001102430	Arfgef1	38
chr1	10314807	10710024	-	NM_177834	Cpa6	11
chr1	10983545	11293763	+	NM_029525	Prex2	40
chr1	11404185	11591902	+	NM_001160370	A830018L16Rik	7
chr1	12657643	12663171	+	NR_045297	4932411L15	3
chr1	12682510	12850453	+	NM_001198565	Sulf1	22
chr1	12856630	12981216	-	NM_172841	Slco5a1	9
chr1	13103508	13117244	-	NM_001081209	Prdm14	8
chr1	13129239	13364164	-	NM_008678	Ncoa2	23
chr1	13554782	13579945	-	NM_028173	Tram1	11
chr1	13615979	13650590	-	NM_145381	Lactb2	7
chr1	13658851	13691804	+	NM_001011873	Xkr9	4
chr1	13775765	13777010	-	NR_004447	Gm5523	1
chr1	14159038	14300280	-	NM_001252192	Eya1	17
chr1	14743428	14746047	-	NM_010827	Msc	2
chr1	14862728	14908943	-	NM_177781	Trpa1	27
chr1	15302532	15704295	+	NM_001098528	Kcnb2	2
